1971;83.40556374
1972;40.00434032
1973;137
1974;128.3302984
1975;30.85432552
1976;111.339299
1977;101.8063085
1978;136.5918274
1979;167.3660752
1980;111.2596888
1981;166
1982;144.83074
1983;63
1984;99.42494936
1985;115
1986;181.1140927
1987;282.4118169
1988;267.3647745
1989;77.62170463
1990;54.27706157
1991;139.0977583
1992;167.8719612
1993;139.4920322
1994;31.92398553
1995;129.8695848
1996;135.1460255
1997;112.0951599
1998;103.0924656
1999;168.4469112
2000;101.067542
2001;202.2250791
2002;219.6476195
2003;87.4
2004;149.2665515
2005;225.3562241
2006;363.3336733
2007;88.29621388
2008;45.11573134
2009;219.2926287
2010;134.7338018
2011;138
2012;204.6707925
2013;92
2014;12.00840385
2015;64
2016;46.8
2017;127.4486949
2018;57.56382194
2019;151.3667709
